手捲精選 2號 (33包套餐) 精確價格對比分析
組合總價: USD $169.88 / RMB ¥1155
組合均價: USD $5.15/包 (簡易平均)

序號,組合產品名,對應單品名,規格,重量,單包USD,多包優惠,最佳單價USD,庫存狀態,組合內分攤USD,vs單包節省,vs最佳價節省
23,MB Virginal,馬霸手捲 弗吉尼亞混合 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.92,5包 $23.64,$4.73 (5包 $23.64),有货,$4.43,$0.49,$0.30
24,MB Halfzware,馬霸手捲 半乾手捲 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.92,5包 $23.64,$4.73 (5包 $23.64),有货,$4.43,$0.49,$0.30
25,Ams Xxx Honest,阿姆斯特丹 誠實 (帶紙),0.025kg/pack*1,0.043 kg/包,$4.15,5包 $19.80,$3.96 (5包 $19.80),有货,$3.74,$0.41,$0.22
26,Ams Xxx Coffee Ice,阿姆斯特丹 咖啡冰爽 (帶紙),0.025kg/pack*1,0.043 kg/包,$4.15,5包 $19.80,$3.96 (5包 $19.80),有货,$3.74,$0.41,$0.22
27,Ams Xxx Apple Ice,阿姆斯特丹 蘋果冰爽 (帶紙),0.025kg/pack*1,0.043 kg/包,$4.15,5包 $19.80,$3.96 (5包 $19.80),有货,$3.74,$0.41,$0.22
28,PS 94 Turkish,PS NUMBER 94 土耳其出口 (袋裝 帶紙),0.035kg/pack*1,0.05 kg/包,$6.13,5包 $29.71,$5.94 (5包 $29.71),有货,$5.52,$0.61,$0.42
29,PS 96 London,PS NUMBER 96 倫敦出口 (袋裝 帶紙),0.035kg/pack*1,0.05 kg/包,$6.13,5包 $29.71,$5.94 (5包 $29.71),有货,$5.52,$0.61,$0.42
30,PS 95 Stockholm,PS NUMBER 95 斯德哥爾摩 混合 (袋裝 帶紙),0.035kg/pack*1,0.05 kg/包,$6.13,5包 $29.71,$5.94 (5包 $29.71),有货,$5.52,$0.61,$0.42
31,RF Rasp Pineap,紅田 樹莓鳳梨 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.29,5包 $20.59,$4.12 (5包 $20.59),有货,$3.86,$0.43,$0.26
32,RF Earl grey tea,紅田 伯爵紅茶 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.29,5包 $20.59,$4.12 (5包 $20.59),有货,$3.86,$0.43,$0.26
33,RF Watemel Cantal,紅田 西瓜哈密瓜 (帶紙),0.03kg/pack*1,0.05 kg/包,$4.29,5包 $20.59,$4.12 (5包 $20.59),有货,$3.86,$0.43,$0.26

=== 匯總對比 ===

對比維度,USD,RMB,說明
33包單獨購買 (全買單包),$188.74,¥1280,每款都按單包價買
33包最佳價格購買,$183.64,,有5包折扣的按5包價，其餘按單包
手捲精選2號組合價,$169.88,¥1155,
組合 vs 全單包 節省,$18.86,¥125,節省 10.0%
組合 vs 最佳價 節省,$13.76,,節省 7.5%

=== 價格區間分析 ===

單包價格區間,產品數,產品列表
$7.50+ (高價),4,"Drum Bright Blue, Drum The Original, GV The Original, GV Bright Yellow"
$6.00-$7.49 (中高),11,"American Spirit Blue, American Spirit Yellow, CB Bright Virginia, CB Virginia, CB Cherry, CB Menthol, BS Premium Virginia, BS Rich Virginia, PS 94 Turkish, PS 96 London, PS 95 Stockholm"
$4.50-$5.99 (中等),12,"Bugler Gold, Bugler Original, Old Holborn Yellow, Old Holborn Blonde, Colts Vanilla, Colts Apple&Cinnamon, Colts Cherry, Choice #01 Original, Choice #05 Aromatic, Choice #33 Kir Royal, MB Virginal, MB Halfzware"
$4.50以下 (低價),6,"Ams Xxx Honest, Ams Xxx Coffee Ice, Ams Xxx Apple Ice, RF Rasp Pineap, RF Earl grey tea, RF Watemel Cantal"

=== 注意事項 ===

類型,產品,說明
缺貨,Old Holborn Blonde,組合內此產品當前無庫存，可能影響發貨
缺貨,American Spirit Blue,組合內此產品當前無庫存，可能影響發貨
