渠道,库存编码,产品名称,品牌,分类,原始价格,原始币种,美元价格,人民币价格,重量(克),规格,是否有货,库存数量,成分,切工,劲道,口味,商品链接,原始ID,产品大类
pipeuncle,,阿姆斯特丹 咖啡冰爽 (帶紙),,手卷丝,19.8,USD,19.8,134.442,43.0,0.025kg/pack*5,True,980,,,,,,2458,手卷丝
pipeuncle,,阿姆斯特丹 蘋果冰爽 (帶紙),,手卷丝,4.15,USD,4.15,28.1785,43.0,0.025kg/pack*1,True,976,,,,,,2459,手卷丝
pipeuncle,,阿姆斯特丹 蘋果冰爽 (帶紙),,手卷丝,19.8,USD,19.8,134.442,43.0,0.025kg/pack*5,True,976,,,,,,2459,手卷丝
pipeuncle,,馬霸選擇#33 皇家基爾 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,968,弗吉尼亞煙草、白肋煙、東方煙草,精細切割,輕柔,,,2303,手卷丝
pipeuncle,,馬霸選擇#33 皇家基爾 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,968,弗吉尼亞煙草、白肋煙、東方煙草,精細切割,輕柔,,,2303,手卷丝
pipeuncle,,馬霸選擇#05 芳香 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,895,"弗吉尼亞煙草、白肋煙、卡文迪什（Virginia, Burley, Cavendish）",精細切割,輕柔,,,2296,手卷丝
pipeuncle,,馬霸選擇#05 芳香 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,895,"弗吉尼亞煙草、白肋煙、卡文迪什（Virginia, Burley, Cavendish）",精細切割,輕柔,,,2296,手卷丝
pipeuncle,,巴厘絲 濃郁弗吉尼亞 (帶紙),,手卷丝,7.08,USD,7.08,48.0732,58.0,0.04kg/pack*1,True,809,維吉尼亞煙草,精細長切絲,中等偏上,,,2158,手卷丝
pipeuncle,,巴厘絲 濃郁弗吉尼亞 (帶紙),,手卷丝,34.39,USD,34.39,233.5081,58.0,0.04kg/pack*5,True,809,維吉尼亞煙草,精細長切絲,中等偏上,,,2158,手卷丝
pipeuncle,,阿姆斯特丹 薄荷冰爽 (帶紙),,手卷丝,4.15,USD,4.15,28.1785,43.0,0.025kg/pack*1,True,544,,,,,,2460,手卷丝
pipeuncle,,阿姆斯特丹 薄荷冰爽 (帶紙),,手卷丝,19.8,USD,19.8,134.442,43.0,0.025kg/pack*5,True,544,,,,,,2460,手卷丝
pipeuncle,,馬霸選擇#16 黑巧克力 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,472,白肋煙、弗吉尼亞煙草,精細切割（Feinschnitt）,輕柔,,,2297,手卷丝
pipeuncle,,馬霸選擇#16 黑巧克力 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,472,白肋煙、弗吉尼亞煙草,精細切割（Feinschnitt）,輕柔,,,2297,手卷丝
pipeuncle,,馬霸選擇#210 蘋果 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,461,弗吉尼亞煙草、白肋煙,精細切割,輕柔,,,2300,手卷丝
pipeuncle,,馬霸選擇#210 蘋果 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,461,弗吉尼亞煙草、白肋煙,精細切割,輕柔,,,2300,手卷丝
pipeuncle,,馬霸選擇#225 香草 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,460,弗吉尼亞煙草、白肋煙、東方煙草,精細切割（絲切）,輕柔,,,2299,手卷丝
pipeuncle,,馬霸選擇#225 香草 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,460,弗吉尼亞煙草、白肋煙、東方煙草,精細切割（絲切）,輕柔,,,2299,手卷丝
pipeuncle,,馬霸選擇#247 葡萄 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,436,黑板煙、維吉尼亞,絲帶狀切割,輕柔,,,2304,手卷丝
pipeuncle,,馬霸選擇#247 葡萄 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,436,黑板煙、維吉尼亞,絲帶狀切割,輕柔,,,2304,手卷丝
pipeuncle,,馬霸選擇#237 櫻桃 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,433,黑板煙、亮色維吉尼亞,絲帶狀切割,輕柔,,,2306,手卷丝
pipeuncle,,馬霸選擇#237 櫻桃 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,433,黑板煙、亮色維吉尼亞,絲帶狀切割,輕柔,,,2306,手卷丝
pipeuncle,,馬霸選擇#251 雙薄荷 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,433,弗吉尼亞煙草、白肋煙,精細切割,輕柔至中等,,,2301,手卷丝
pipeuncle,,馬霸選擇#251 雙薄荷 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,433,弗吉尼亞煙草、白肋煙,精細切割,輕柔至中等,,,2301,手卷丝
pipeuncle,,PS NUMBER 93 阿姆斯特丹 手捲 (袋裝 帶紙),,手卷丝,6.13,USD,6.13,41.6227,50.0,0035g/pack*1,True,418,,,,,,2461,手卷丝
pipeuncle,,PS NUMBER 93 阿姆斯特丹 手捲 (袋裝 帶紙),,手卷丝,29.71,USD,29.71,201.7309,50.0,0035g/pack*5,True,418,,,,,,2461,手卷丝
pipeuncle,,阿姆斯特丹 香草冰爽 (帶紙),,手卷丝,4.15,USD,4.15,28.1785,43.0,0.025kg/pack*1,True,416,"維吉尼亞煙草、白肋煙、黑板煙（Virginia, Burley, Black Cavendish）",精細切割,輕柔至中等,,,2309,手卷丝
pipeuncle,,阿姆斯特丹 香草冰爽 (帶紙),,手卷丝,19.8,USD,19.8,134.442,43.0,0.025kg/pack*5,True,416,"維吉尼亞煙草、白肋煙、黑板煙（Virginia, Burley, Black Cavendish）",精細切割,輕柔至中等,,,2309,手卷丝
pipeuncle,,PS NUMBER 95 斯德哥爾摩 混合 (袋裝 帶紙),,手卷丝,6.13,USD,6.13,41.6227,50.0,0.035kg/pack*1,True,316,,,,,,2465,手卷丝
pipeuncle,,PS NUMBER 95 斯德哥爾摩 混合 (袋裝 帶紙),,手卷丝,29.71,USD,29.71,201.7309,50.0,0.035kg/pack*5,True,316,,,,,,2465,手卷丝
pipeuncle,,馬霸選擇#9 咖啡 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,310,弗吉尼亞煙草、白肋煙、東方煙草,精細切割,輕柔至中等,,,2302,手卷丝
pipeuncle,,馬霸選擇#9 咖啡 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,310,弗吉尼亞煙草、白肋煙、東方煙草,精細切割,輕柔至中等,,,2302,手卷丝
pipeuncle,,PS NUMBER 96 倫敦出口 (袋裝 帶紙),,手卷丝,6.13,USD,6.13,41.6227,50.0,0.035kg/pack*1,True,304,,,,,,2464,手卷丝
pipeuncle,,PS NUMBER 96 倫敦出口 (袋裝 帶紙),,手卷丝,29.71,USD,29.71,201.7309,50.0,0.035kg/pack*5,True,304,,,,,,2464,手卷丝
pipeuncle,,PS NUMBER 94 土耳其出口 (袋裝 帶紙),,手卷丝,6.13,USD,6.13,41.6227,50.0,0.035kg/pack*1,True,303,,,,,,2463,手卷丝
pipeuncle,,PS NUMBER 94 土耳其出口 (袋裝 帶紙),,手卷丝,29.71,USD,29.71,201.7309,50.0,0.035kg/pack*5,True,303,,,,,,2463,手卷丝
pipeuncle,,PS NUMBER 91 丹麥出口,,手卷丝,22.24,USD,22.24,151.0096,230.0,0.15kg/box*1,True,293,,,,,,2451,手卷丝
pipeuncle,,PS NUMBER 91 丹麥出口,,手卷丝,64.74,USD,64.74,439.5846,230.0,0.15kg/box*3,True,293,,,,,,2451,手卷丝
pipeuncle,,紅田 黑醋栗 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,280,,,,,,2507,手卷丝
pipeuncle,,紅田 黑醋栗 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,280,,,,,,2507,手卷丝
pipeuncle,,紅田 櫻桃 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,276,,,,,,2508,手卷丝
pipeuncle,,紅田 櫻桃 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,276,,,,,,2508,手卷丝
pipeuncle,,紅田 蘋果 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,267,,,,,,2502,手卷丝
pipeuncle,,紅田 蘋果 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,267,,,,,,2502,手卷丝
pipeuncle,,紅田 葡萄 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,266,,,,,,2513,手卷丝
pipeuncle,,紅田 葡萄 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,266,,,,,,2513,手卷丝
pipeuncle,,紅田 皇家基爾 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,257,,,,,,2515,手卷丝
pipeuncle,,紅田 皇家基爾 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,257,,,,,,2515,手卷丝
pipeuncle,,紅田 榛果 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,254,,,,,,2514,手卷丝
pipeuncle,,紅田 榛果 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,254,,,,,,2514,手卷丝
pipeuncle,,PS NUMBER 95 斯德哥爾摩 混合,,手卷丝,22.24,USD,22.24,151.0096,230.0,0.15kg/box*1,True,239,,,,,,2454,手卷丝
pipeuncle,,PS NUMBER 95 斯德哥爾摩 混合,,手卷丝,64.74,USD,64.74,439.5846,230.0,0.15kg/box*3,True,239,,,,,,2454,手卷丝
pipeuncle,,紅田 巧克力 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,232,,,,,,2509,手卷丝
pipeuncle,,紅田 巧克力 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,232,,,,,,2509,手卷丝
pipeuncle,,紅田 薄荷 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,177,,,,,,2517,手卷丝
pipeuncle,,紅田 薄荷 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,177,,,,,,2517,手卷丝
pipeuncle,,紅田 香蕉 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,177,,,,,,2505,手卷丝
pipeuncle,,紅田 香蕉 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,177,,,,,,2505,手卷丝
pipeuncle,,紅田 桃子 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,174,,,,,,2519,手卷丝
pipeuncle,,紅田 桃子 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,174,,,,,,2519,手卷丝
pipeuncle,,紅田 巧克力薄荷 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,173,,,,,,2510,手卷丝
pipeuncle,,紅田 巧克力薄荷 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,173,,,,,,2510,手卷丝
pipeuncle,,紅田 草莓 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,171,,,,,,2521,手卷丝
pipeuncle,,紅田 草莓 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,171,,,,,,2521,手卷丝
pipeuncle,,紅田 柑橘 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,170,,,,,,2511,手卷丝
pipeuncle,,紅田 柑橘 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,170,,,,,,2511,手卷丝
pipeuncle,,紅田 芒果 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,169,,,,,,2516,手卷丝
pipeuncle,,紅田 芒果 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,169,,,,,,2516,手卷丝
pipeuncle,,紅田 香橙 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,162,,,,,,2518,手卷丝
pipeuncle,,紅田 香橙 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,162,,,,,,2518,手卷丝
pipeuncle,,紅田 香草 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,152,,,,,,2522,手卷丝
pipeuncle,,紅田 香草 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,152,,,,,,2522,手卷丝
pipeuncle,,馬霸選擇#24 朗姆咖啡 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,117,弗吉尼亞煙草、白肋煙、東方煙草,絲切（精細切割）,輕柔,,,2298,手卷丝
pipeuncle,,馬霸選擇#24 朗姆咖啡 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,117,弗吉尼亞煙草、白肋煙、東方煙草,絲切（精細切割）,輕柔,,,2298,手卷丝
pipeuncle,,PS NUMBER 93 阿姆斯特丹 手捲,,手卷丝,22.24,USD,22.24,151.0096,230.0,0.15kg/box*1,True,110,,,,,,2450,手卷丝
pipeuncle,,PS NUMBER 93 阿姆斯特丹 手捲,,手卷丝,64.74,USD,64.74,439.5846,230.0,0.15kg/box*3,True,110,,,,,,2450,手卷丝
pipeuncle,,PS NUMBER 96 倫敦出口,,手卷丝,22.24,USD,22.24,151.0096,230.0,0.15kg/box*1,True,99,,,,,,2453,手卷丝
pipeuncle,,PS NUMBER 96 倫敦出口,,手卷丝,64.74,USD,64.74,439.5846,230.0,0.15kg/box*3,True,99,,,,,,2453,手卷丝
pipeuncle,,紅田 樹莓鳳梨 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,99,,,,,,2520,手卷丝
pipeuncle,,紅田 樹莓鳳梨 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,99,,,,,,2520,手卷丝
pipeuncle,,PS NUMBER 91 丹麥出口 (袋裝 帶紙),,手卷丝,6.13,USD,6.13,41.6227,50.0,0.035kg/pack*1,True,69,,,,,,2462,手卷丝
pipeuncle,,PS NUMBER 91 丹麥出口 (袋裝 帶紙),,手卷丝,29.71,USD,29.71,201.7309,50.0,0.035kg/pack*5,True,69,,,,,,2462,手卷丝
pipeuncle,,紅田 伯爵紅茶 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,57,,,,,,2512,手卷丝
pipeuncle,,紅田 伯爵紅茶 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,57,,,,,,2512,手卷丝
pipeuncle,,手捲精選 2號 (33包套餐),,手卷丝,169.88,USD,169.88,1153.4852,0,"Bugler Gold 0.0184kg/pack*1
Bugler Original 0.0184kg/pack*1
Drum Bright Blue 0.05kg/pack*1
Drum The Original 0.05kg/pack*1
GV The Original 0.05kg/pack*1
GV Bright Yellow 0.05kg/pack*1
Old Holborn Yellow 0.025kg/pack*1
Old Holborn Blonde 0.025kg/pack*1
American Spirit Blue 0.03kg/pack*1
American Spirit Yellow 0.03kg/pack*1
CB Bright Virginia 0.05kg/pack*1
CB Virginia 0.05kg/pack*1
CB Cherry 0.05kg/pack*1
CB Menthol 0.05kg/pack*1
Colts Vanilla 0.03kg/pack*1
Colts Apple&Cinnamon 0.03kg/pack*1
Colts Cherry 0.03kg/pack*1
BS Premium Virginia  0.04kg/pack*1
BS Rich Virginia  0.04kg/pack*1
Choice #01 Original 0.03kg/pack*1
Choice #05 Aromatic 0.03kg/pack*1
Choice #33 Kir Royal 0.03kg/pack*1
MB Virginal 0.03kg/pack*1
MB Halfzware 0.03kg/pack*1
Ams Xxx Honest 0.025kg/pack*1
Ams Xxx Chffee Ice 0.025kg/pack*1
Ams Xxx Apple Ice  0.025kg/pack*1
PS 94 Turkish 0.035kg/pack*1
PS 96 London 0.035kg/pack*1
PS 95 Stockholm 0.035kg/pack*1
RF Rasp Pineap 0.03kg/pack*1
RF Earl grey tea 0.03kg/pack*1
RF Watemel Cantal 0.03kg/pack*1",True,14,,,,,,2768,手卷丝
pipeuncle,,紅田 西瓜哈密瓜 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,2,,,,,,2523,手卷丝
pipeuncle,,紅田 西瓜哈密瓜 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,2,,,,,,2523,手卷丝
pipeuncle,,綠GV (金色弗吉尼亞),,手卷丝,7.95,USD,7.95,53.9805,60.0,0.05kg/pack*1,True,4582,,,,,,285,手卷丝
pipeuncle,,鼓牌蔚藍 15包 &  鼓牌原味 15包 組合,,手卷丝组合,177.93,USD,177.93,1208.1447,0,"DRUM BRIGHT BLUE 0.05kg/pack*15
DRUM THE ORIGINAL 0.05kg/pack*15",True,74,,,,,,1038,手卷丝
pipeuncle,,明亮黃 (金色弗吉尼亞),,手卷丝,7.95,USD,7.95,53.9805,60.0,0.05kg/pack*1,True,39,,,,,,1800,手卷丝
pipeuncle,,喇叭手 金色 (帶紙),,手卷丝,5.76,USD,5.76,39.1104,35.0,18.4g/pack*1,True,4943,,,,,,2285,手卷丝
pipeuncle,,老霍本 黃,,手卷丝,5.13,USD,5.13,34.8327,36.0,0.025kg/pack*1,True,2371,,,,,,2194,手卷丝
pipeuncle,,COLTS 蘋果肉桂 (帶紙),,手卷丝,4.75,USD,4.75,32.2525,50.0,0.03kg/pack*1,True,1068,,：精細切割,,,,2148,手卷丝
pipeuncle,,COLTS 蘋果肉桂 (帶紙),,手卷丝,22.79,USD,22.79,154.7441,50.0,0.03kg/pack*5,True,1068,,：精細切割,,,,2148,手卷丝
pipeuncle,,美國精神 原味黃,,手卷丝,7.23,USD,7.23,49.0917,40.0,0.03kg/pack*1,True,2907,,,,,,2708,手卷丝
pipeuncle,,美國精神 原味黃,,手卷丝,35.27,USD,35.27,239.4833,40.0,0.03kg/pack*5,True,2907,,,,,,2708,手卷丝
pipeuncle,,鼓牌原味,,手卷丝,7.75,USD,7.75,52.6225,60.0,0.05kg/pack*1,True,2710,,,,,,286,手卷丝
pipeuncle,,鼓牌原味,,手卷丝,37.8,USD,37.8,256.662,60.0,0.05kg/pack*5,True,2710,,,,,,286,手卷丝
pipeuncle,,喇叭手 原味 6OZ (170g 帶紙),,手卷丝,49.36,USD,49.36,335.1544,265.0,170g/box*1,True,34,土耳其煙草、混合煙草,精細切割,中等,,,2447,手卷丝
pipeuncle,,喇叭手 金色 6OZ (170g 帶紙),,手卷丝,49.36,USD,49.36,335.1544,265.0,170g/box*1,True,2,,,,,,2446,手卷丝
pipeuncle,,鼓牌蔚藍,,手卷丝,7.75,USD,7.75,52.6225,0,0.05kg/pack*1,True,2780,,,,,,289,手卷丝
pipeuncle,,鼓牌蔚藍,,手卷丝,37.8,USD,37.8,256.662,0,0.05kg/pack*5,True,2780,,,,,,289,手卷丝
pipeuncle,,COLTS 香草 (帶紙),,手卷丝,4.75,USD,4.75,32.2525,50.0,0.03kg/pack*1,True,1929,,：精細切割,,,,2155,手卷丝
pipeuncle,,COLTS 香草 (帶紙),,手卷丝,22.79,USD,22.79,154.7441,50.0,0.03kg/pack*5,True,1929,,：精細切割,,,,2155,手卷丝
pipeuncle,,黑船長 弗吉尼亞(手卷絲),,手卷丝,6.32,USD,6.32,42.9128,60.0,0.05kg/pack,True,1223,,,,,,791,手卷丝
pipeuncle,,黑船長 弗吉尼亞(手卷絲),,手卷丝,30.67,USD,30.67,208.2493,60.0,0.05kg/pack*5,True,1223,,,,,,791,手卷丝
pipeuncle,,COLTS 順滑原味 (帶紙),,手卷丝,4.75,USD,4.75,32.2525,50.0,0.03kg/pack*1,True,1003,,：精細切割,,,,2154,手卷丝
pipeuncle,,COLTS 順滑原味 (帶紙),,手卷丝,22.79,USD,22.79,154.7441,50.0,0.03kg/pack*5,True,1003,,：精細切割,,,,2154,手卷丝
pipeuncle,,巴厘絲 優質弗吉尼亞 (帶紙),,手卷丝,7.08,USD,7.08,48.0732,58.0,0.04kg/pack*1,True,880,維吉尼亞煙草、白肋煙,精細絲切,中等,,,2157,手卷丝
pipeuncle,,巴厘絲 優質弗吉尼亞 (帶紙),,手卷丝,34.39,USD,34.39,233.5081,58.0,0.04kg/pack*5,True,880,維吉尼亞煙草、白肋煙,精細絲切,中等,,,2157,手卷丝
pipeuncle,,阿姆斯特丹 誠實 (帶紙),,手卷丝,4.15,USD,4.15,28.1785,43.0,0.025kg/pack*1,True,616,,,,,,2457,手卷丝
pipeuncle,,阿姆斯特丹 誠實 (帶紙),,手卷丝,19.8,USD,19.8,134.442,43.0,0.025kg/pack*5,True,616,,,,,,2457,手卷丝
pipeuncle,,馬霸選擇#01 原味 (帶紙),,手卷丝,4.62,USD,4.62,31.3698,50.0,0.03kg/pack*1,True,608,弗吉尼亞煙草、白肋煙、卡文迪什,鬆散切割,輕柔至中等,,,2307,手卷丝
pipeuncle,,馬霸選擇#01 原味 (帶紙),,手卷丝,22.09,USD,22.09,149.9911,50.0,0.03kg/pack*5,True,608,弗吉尼亞煙草、白肋煙、卡文迪什,鬆散切割,輕柔至中等,,,2307,手卷丝
pipeuncle,,馬霸手捲 半乾手捲 (帶紙),,手卷丝,4.92,USD,4.92,33.4068,50.0,0.03kg/pack*1,True,488,火烤肯塔基煙草、深色維吉尼亞煙草,精細絲切,中等,,,2479,手卷丝
pipeuncle,,馬霸手捲 半乾手捲 (帶紙),,手卷丝,23.64,USD,23.64,160.5156,50.0,0.03kg/pack*5,True,488,火烤肯塔基煙草、深色維吉尼亞煙草,精細絲切,中等,,,2479,手卷丝
pipeuncle,,紅田 黑加侖 (帶紙),,手卷丝,4.29,USD,4.29,29.1291,50.0,0.03kg/pack*1,True,154,,,,,,2506,手卷丝
pipeuncle,,紅田 黑加侖 (帶紙),,手卷丝,20.59,USD,20.59,139.8061,50.0,0.03kg/pack*5,True,154,,,,,,2506,手卷丝
pipeuncle,,PS NUMBER 94 土耳其出口,,手卷丝,22.24,USD,22.24,151.0096,230.0,0.15kg/box*1,True,88,,,,,,2452,手卷丝
pipeuncle,,PS NUMBER 94 土耳其出口,,手卷丝,64.74,USD,64.74,439.5846,230.0,0.15kg/box*3,True,88,,,,,,2452,手卷丝
pipeuncle,,馬霸手捲 弗吉尼亞混合 (帶紙),,手卷丝,4.92,USD,4.92,33.4068,50.0,0.03kg/pack*1,True,74,多種等級維吉尼亞煙草,精細切割,中等偏濃郁,,,2480,手卷丝
pipeuncle,,馬霸手捲 弗吉尼亞混合 (帶紙),,手卷丝,23.64,USD,23.64,160.5156,50.0,0.03kg/pack*5,True,74,多種等級維吉尼亞煙草,精細切割,中等偏濃郁,,,2480,手卷丝
pipeuncle,,阿姆斯特丹 葡萄冰爽 (帶紙),,手卷丝,4.15,USD,4.15,28.1785,43.0,0.025kg/pack*1,True,377,弗吉尼亞煙草、白肋煙,精細切絲,輕柔,,,2308,手卷丝
pipeuncle,,阿姆斯特丹 葡萄冰爽 (帶紙),,手卷丝,19.8,USD,19.8,134.442,43.0,0.025kg/pack*5,True,377,弗吉尼亞煙草、白肋煙,精細切絲,輕柔,,,2308,手卷丝
pipeuncle,,巴厘絲 圓潤弗吉尼亞 (帶紙),,手卷丝,7.08,USD,7.08,48.0732,58.0,0.04kg/pack*1,True,198,金色弗吉尼亞煙草、東方煙草,精細絲切,中等,,,2159,手卷丝
pipeuncle,,巴厘絲 圓潤弗吉尼亞 (帶紙),,手卷丝,34.39,USD,34.39,233.5081,58.0,0.04kg/pack*5,True,198,金色弗吉尼亞煙草、東方煙草,精細絲切,中等,,,2159,手卷丝
pipeuncle,,馬霸手捲 美式混合 (帶紙),,手卷丝,4.92,USD,4.92,33.4068,50.0,0.03kg/pack*1,True,0,,：精細切割,,,,2294,手卷丝
pipeuncle,,馬霸手捲 美式混合 (帶紙),,手卷丝,23.64,USD,23.64,160.5156,50.0,0.03kg/pack*5,True,0,,：精細切割,,,,2294,手卷丝
