渠道,品牌,种类,规格,个数,不加税价格 (¥),含税价格 (¥),美元价格 ($),库存,口味/描述
华盛,黑马,空管,8*24mm 8*2mm,,36.94,55.41,5.44,无货,黑马特长碳滤嘴空管 Dark Horse Extra Long Carbon Filter Tube 8*24mm
华盛,黑马,空管,8*24mm 8*2mm,200s,42.12,63.18,6.20,库存仅剩 3,黑马黑碳空管 Dark Horse Black Carbon Tube 8*24mm 200s
华盛,黑马,空管,8*24mm 8*2mm,,44.38,66.57,6.54,无货,黑马碳铜空管 Dark Horse carbon copper Tube 8*24mm
华盛,史丹利,卷烟器,,,15.44,23.16,2.27,有货,史丹利不可调节卷烟器 Stanley Non Adjustable Roller
华盛,多明戈,卷烟器,,,16.91,25.37,2.49,有货,多明戈不可调节卷烟器 Domingo non adjustable Roller
华盛,RAW,卷烟器,6*70mm,,17.98,26.97,2.65,有货,RAW 可调节卷烟器 RAW Adjustable Roller 8 / 6*70mm
华盛,黑马,卷烟器,70mm,,23.20,34.80,3.42,无货,黑马可调节卷烟器 Dark Horse Adjustable Roller 70mm
华盛,琥珀,烟丝,,,50.00,75.00,7.36,无货,琥珀 Amberleaf 30克 (限购- 每个订单限制1包）
华盛,LD,成品烟,,,258.70,388.05,38.10,库存仅剩 2,LD薄荷 Liggett Ducat Menthol  (1条10盒）
华盛,LD,成品烟,,,258.70,388.05,38.10,库存仅剩 3,LD蓝中免爆珠 Liggett Ducat Zoom Capsule  (1条10盒）
华盛,LD,成品烟,,,258.70,388.05,38.10,库存仅剩 3,LD爆珠葡萄 Liggett Ducat Crush Grape  (1条10盒）
华盛,LD,成品烟,,,259.00,388.50,38.14,库存仅剩 2,LD红 Liggett Ducat Red (1条10盒）
华盛,LD,成品烟,,,259.00,388.50,38.14,库存仅剩 2,LD蓝 Liggett Ducat Blue  (1条10盒）
华盛,切斯特菲尔德,成品烟,,,263.65,395.47,38.83,库存仅剩 2,切斯特菲尔德薄荷 Chesterfield Menthol  (1条10盒）
华盛,切斯特菲尔德,成品烟,,,263.65,395.47,38.83,库存仅剩 2,切斯特菲尔德紫色 Chesterfield Purple  (1条10盒）
华盛,切斯特菲尔德,成品烟,,,263.65,395.47,38.83,库存仅剩 2,切斯特菲尔德蓝 Chesterfield Blue  (1条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 2,Terea 桑葚丁香 Kretek Mulberry (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 2,Terea 星光 Starling (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 3,Terea 太阳爆珠 Sun Pearl (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 3,Terea 绿洲爆珠 Oasis Pearl (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 3,Terea 青柠薄荷 Zing Wave (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 3,Terea 蓝莓薄荷 Purple Wave (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 2,Terea 淡薄荷 Turquoise (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,有货,Terea 浓薄荷 Blue (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 2,Terea 琥珀原味 Amber (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 2,Terea 深原味 Sienna (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 3,Terea 浓原味 Russet (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 3,Terea 极冷柑橘 Black Yellow (一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 1,Terea 极冷蓝莓薄荷 Black Purple Mint(一条10盒）
华盛,Terea,成品烟,,,266.40,399.60,39.23,库存仅剩 2,Terea 极冷薄荷 Black Green (一条10盒）
华盛,云斯顿,成品烟,,,346.98,520.47,51.10,库存仅剩 2,云斯顿蓝 Winston Blue  (1条10盒）
华盛,云斯顿,成品烟,,,346.98,520.47,51.10,库存仅剩 4,云斯顿双重爆珠 Winston Duo Capsule  (1条10盒）
华盛,云斯顿,成品烟,,,346.98,520.47,51.10,库存仅剩 1,云斯顿红 Winston Red  (1条10盒）
华盛,梅维乌斯,成品烟,,,347.90,521.85,51.24,库存仅剩 4,梅维乌斯双冰 Mevius Double Ice (1条10盒）
华盛,梅维乌斯,成品烟,,,347.90,521.85,51.24,库存仅剩 2,梅维乌斯爆珠 Mevius Capsule  (1条10盒）
华盛,梅维乌斯,成品烟,,,347.90,521.85,51.24,库存仅剩 2,梅维乌斯斯极 Mevius Kiwami  (1条10盒）
华盛,梅维乌斯,成品烟,,,347.90,521.85,51.24,库存仅剩 2,梅维乌斯薄荷白 Mevius Menthol White  (1条10盒）
华盛,梅维乌斯,成品烟,,,347.90,521.85,51.24,有货,梅维乌斯薄荷 Mevius Menthol  (1条10盒）
华盛,梅维乌斯,成品烟,,,347.90,521.85,51.24,库存仅剩 1,梅维乌斯风蓝 Mevius Wind Blue  (1条10盒）
华盛,梅维乌斯,成品烟,,,347.90,521.85,51.24,库存仅剩 3,梅维乌斯黄 Mevius Yellow (1条10盒）
华盛,梅维乌斯,成品烟,,,349.16,523.74,51.42,库存仅剩 3,梅维乌斯天蓝 Mevius Sky Blue  (1条10盒）
华盛,梅维乌斯,成品烟,,,349.16,523.74,51.42,库存仅剩 3,梅维乌斯原味 Mevius Original  (1条10盒）
华盛,登喜路,成品烟,,,353.30,529.95,52.03,库存仅剩 1,登喜路红 Dunhill Red (1条10盒)
华盛,登喜路,成品烟,,,353.30,529.95,52.03,库存仅剩 2,登喜路热情黄 Dunhill Zest Yellow  (1条10盒）
华盛,登喜路,成品烟,,,353.30,529.95,52.03,库存仅剩 1,登喜路深蓝(混合) Dunhill Dark Blue BCF (Mix)  (1条10盒）
华盛,登喜路,成品烟,,,353.30,529.95,52.03,库存仅剩 1,登喜路香槟 Dunhill Champagne  (1条10盒）
华盛,登喜路,成品烟,,,353.30,529.95,52.03,库存仅剩 2,登喜路深绿色(增强) Dunhill Dark Green (Boost)  (1条10盒）
华盛,登喜路,成品烟,,,353.30,529.95,52.03,库存仅剩 3,登喜路经典 Dunhill Evo Classic (1条10盒）
华盛,登喜路,成品烟,,,353.30,529.95,52.03,库存仅剩 2,登喜路薄荷 Dunhill Menthol  (1条10盒）
华盛,登喜路,成品烟,,,353.30,529.95,52.03,库存仅剩 1,登喜路浅蓝 Dunhill Light Blue  (1条10盒）
华盛,万宝路,成品烟,,,355.76,533.64,52.39,库存仅剩 2,万宝路白金 Marlboro Gold  (1条10盒）
华盛,万宝路,成品烟,,,355.76,533.64,52.39,库存仅剩 3,万宝路维斯塔黑薄荷 Marlboro Vista Black Mint  (1条10盒）
华盛,万宝路,成品烟,,,355.76,533.64,52.39,库存仅剩 3,万宝路维斯塔热带飞溅 Marlboro Vista Tropical Splash  (1条10盒）
华盛,万宝路,成品烟,,,355.76,533.64,52.39,库存仅剩 1,万宝路维斯塔夏日狂欢 Marlboro Vista Summer Splash  (1条10盒）
华盛,万宝路,成品烟,,,355.76,533.64,52.39,库存仅剩 3,万宝路维斯塔薄荷 Marlboro Vista Menthol  (1条10盒）
华盛,万宝路,成品烟,,,355.76,533.64,52.39,库存仅剩 3,万宝路维斯塔冰爆珠 Marlboro Vista Ice Blast  (1条10盒）
华盛,万宝路,成品烟,,,355.76,533.64,52.39,库存仅剩 5,万宝路维斯塔双爆 Marlboro Vista Double Burst  (1条10盒）
华盛,万宝路,成品烟,,,355.76,533.64,52.39,库存仅剩 2,万宝路硬红 Marlboro Hard Red (1条10盒）
华盛,切斯特菲尔德,成品烟,,,371.70,557.55,54.74,库存仅剩 2,切斯特菲尔德红 Chesterfield Red  (1条10盒）
华盛,手卷新手精选,套装,,,530.00,795.00,78.06,有货,手卷新手精选 RYO Special Selection SET 1
